model_name,pretrained,fraction,augmentation,seed,param_count,best_epoch,best_mAP,training_time_sec,val_loss,mAP,supported_mAP,supported_classes,ap_aeroplane,ap_bicycle,ap_bird,ap_boat,ap_bottle,ap_bus,ap_car,ap_cat,ap_chair,ap_cow,ap_diningtable,ap_dog,ap_horse,ap_motorbike,ap_person,ap_pottedplant,ap_sheep,ap_sofa,ap_train,ap_tvmonitor,run_dir
convnext_t,False,0.1,standard,456,27835508,4,0.0809,118.1,0.2563308393889731,0.08085385142015614,0.08085385142015614,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.18375320962735273,0.04854826371922963,0.06619279257029112,0.09728027369998637,0.06816948465975722,0.03071791952877992,0.09001444579835075,0.09399872836555304,0.08464480490079537,0.024468530016691237,0.03552933585073159,0.1056326763229638,0.03769337035834547,0.040440989960600804,0.36976930729495805,0.054240771753529364,0.028938750279982328,0.05375151922754677,0.04187663559012013,0.061415218877557035,convnext_t_scratch_frac0.10_aug-standard_seed456
convnext_t,False,0.2,standard,123,27835508,4,0.0771,165.1,0.2544175458478404,0.07712423683602478,0.07712423683602478,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.0495116115926738,0.057048087786363305,0.0866534053621276,0.05533941641534874,0.05614017303887921,0.051360158456553416,0.11111231818695516,0.10313760567924699,0.09756743439347694,0.032079336675767706,0.04159258323962447,0.12174730451761044,0.04350777012487725,0.03850216117956633,0.3643475047525216,0.04133934002089753,0.05243984071803946,0.04587361046968079,0.05179642724524952,0.041388646865035,convnext_t_scratch_frac0.20_aug-standard_seed123
convnext_t,False,0.2,standard,42,27835508,3,0.0951,120.8,0.25210780232817265,0.09513286326430008,0.09513286326430008,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.25898618526798245,0.050848007866326615,0.08730728153418574,0.09530914497358928,0.07480055042258582,0.049706918092614585,0.12498466175072284,0.10368510171073786,0.11972008731160223,0.02836998833573618,0.057578367798135924,0.1248189249238455,0.04528966749417441,0.06507845997474881,0.396357070241718,0.04624777959647974,0.028794419723681308,0.04085983287976366,0.05050765470977946,0.05340716067759148,convnext_t_scratch_frac0.20_aug-standard_seed42
convnext_t,False,0.2,standard,456,27835508,9,0.0798,217.7,0.23658041721516912,0.07975153128123094,0.07975153128123094,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.19455323352880435,0.05070296904492092,0.11453669028874469,0.10956761923320317,0.053930042380916754,0.0339045847851701,0.07574211744957082,0.10668631281921195,0.07341904267825315,0.02352533296827368,0.07058412507419366,0.09686727796759953,0.039470703404768076,0.04546890730925027,0.316540392355123,0.03641726378800029,0.03751486617890183,0.03613483229395353,0.037608082043099636,0.04185623003265955,convnext_t_scratch_frac0.20_aug-standard_seed456
convnext_t,False,0.5,standard,123,27835508,1,0.0837,163.2,0.2534279589142118,0.08372050656622759,0.08372050656622759,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.18926081618069743,0.04672315262599783,0.06438439485734543,0.03652516120267474,0.06261595449986554,0.055617628204545536,0.10612957826494372,0.11228122238505504,0.1172777716037989,0.024691961192357056,0.0531305785863695,0.10783464558416803,0.050160964072826414,0.046402031580683276,0.39004343982176376,0.04925411137548266,0.025095216447203438,0.038021193152748115,0.042678427715498596,0.056281881970527095,convnext_t_scratch_frac0.50_aug-standard_seed123
convnext_t,False,0.5,standard,42,27835508,30,0.1328,684.7,0.2204631011892151,0.1327853710787347,0.1327853710787347,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.37146850589070524,0.08711653027238857,0.0997886757766585,0.15763537182887222,0.09814861135877843,0.17399270322724902,0.225012138959162,0.15168837524915735,0.1315038757086669,0.037546814877973775,0.0674927244161373,0.14989566844840047,0.04813234404057419,0.0974209908499936,0.4354904098252521,0.06469461462597668,0.044624407530795315,0.06347094902953852,0.08763412392402835,0.06294958573438565,convnext_t_scratch_frac0.50_aug-standard_seed42
convnext_t,False,0.5,standard,456,27835508,28,0.1245,733.2,0.22126527163353596,0.12450868062800753,0.12450868062800753,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.35829524689263276,0.07035520541502137,0.06012665798859667,0.15555350174082036,0.09933768497236187,0.0969724471009808,0.20129831639193058,0.13485301079357617,0.1437822026542324,0.035168350993666164,0.07652462612648124,0.15376091572320433,0.05078756644284545,0.07494680065780263,0.4477799155527335,0.06264857157816468,0.03153716207210017,0.05481181486743736,0.1251226373148355,0.056510977280726404,convnext_t_scratch_frac0.50_aug-standard_seed456
convnext_t,False,1.0,standard,123,27835508,27,0.1398,1190.4,0.2189880385176166,0.13977620985906716,0.13977620985906716,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.40191932816637416,0.07456561201525774,0.12654558295261392,0.15788103211607968,0.09593634626404815,0.15274555607697193,0.2330834149276568,0.13400392052317806,0.13987770695499097,0.046748922429196524,0.0804975763579884,0.15665624167808073,0.05746507855887824,0.09787232829249377,0.46484038722898785,0.06340489826244819,0.05162275150624571,0.06063926633239984,0.12845999200589495,0.07075825453155726,convnext_t_scratch_frac1.00_aug-standard_seed123
convnext_t,False,1.0,standard,42,27835508,29,0.1349,1105.2,0.21880604948971297,0.13490953911473652,0.13490953911473652,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.37606762151112527,0.08084775355318573,0.1318528534318953,0.15756659444030102,0.09995507998784642,0.1794668183604677,0.21871417453310618,0.14037463535342848,0.1372220850073465,0.029211669649338412,0.07260506396409401,0.1515601648692653,0.05612064336336713,0.07987587631700012,0.4558516172163219,0.0758232437674403,0.027778479909582134,0.04919343851941689,0.11450682257113853,0.06359614596906299,convnext_t_scratch_frac1.00_aug-standard_seed42
convnext_t,False,1.0,standard,456,27835508,6,0.1091,430.3,0.22743843446721088,0.10914902264481896,0.10914902264481896,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.28697220745179636,0.06180590749704476,0.10093116181591688,0.14993800518666614,0.08668746162868803,0.06727898990595232,0.17471796596367506,0.12093230092961389,0.13665080925908213,0.030667936033482657,0.06709223197772202,0.13660959206539436,0.04191570321449787,0.06686573367792428,0.38581575282369895,0.05366603495897583,0.035327743764203653,0.057821694430143115,0.06924434248053862,0.05203887783136249,convnext_t_scratch_frac1.00_aug-standard_seed456
deit_s,True,0.05,standard,123,21673364,30,0.7674,359.8,0.1186459176651724,0.7673652967295492,0.7673652967295492,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9724160303153949,0.8881857830977201,0.7996747910651524,0.6288693437307076,0.37581763092290005,0.9260823520297385,0.74225446771901,0.9655987789449355,0.6363369088373149,0.7585371652700795,0.6759991679446979,0.8600939922245772,0.8954083958189887,0.8731274151473105,0.908500798552505,0.21914356306313348,0.8566369806069812,0.5886541134170072,0.9501466946717496,0.8258215612110822,deit_s_pretrained_frac0.05_aug-standard_seed123
deit_s,True,0.05,standard,42,21673364,30,0.7709,313.5,0.11755747012384646,0.7708646376836862,0.7708646376836862,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9749690997446709,0.8771097355242883,0.7672108664356703,0.7736484594927671,0.2998984250947361,0.9114826967478771,0.7298528156683871,0.9691611935894199,0.6403249977416376,0.7988025889168607,0.654167033407917,0.8514387533564042,0.8864460008730605,0.8761382993524934,0.9158916637539384,0.2577760924237591,0.8551590791635173,0.6088739935062984,0.9516916088083389,0.817249350071683,deit_s_pretrained_frac0.05_aug-standard_seed42
deit_s,True,0.05,standard,456,21673364,30,0.7682,281.2,0.1173097774550155,0.7681718806909643,0.7681718806909643,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.980942698949371,0.865042064646096,0.8003049693263871,0.8155233461335857,0.30947368635857225,0.8964557494629809,0.7421566546882628,0.9744939160214061,0.6384396365795986,0.8318728265485347,0.6247352222416315,0.8604201860530017,0.893771310288266,0.8754301033415566,0.9042965237892769,0.2232069062544852,0.8292726296844133,0.5644267989134839,0.9455965444962077,0.7875758400421691,deit_s_pretrained_frac0.05_aug-standard_seed456
deit_s,True,0.1,standard,123,21673364,30,0.836,392.8,0.08146787045912428,0.8359701334860791,0.8359701334860791,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.983787139261633,0.9072316558418695,0.9269459749936214,0.8534385757329289,0.6259222714376763,0.9389440149259973,0.787345707683898,0.9711795712921075,0.6961239010227982,0.862541405464624,0.697979711098895,0.9389541246552257,0.9491329613727497,0.9075912890996221,0.9444852887438305,0.42484853308901027,0.8873925225018419,0.5986560473803034,0.9678941448315662,0.849007829291384,deit_s_pretrained_frac0.10_aug-standard_seed123
deit_s,True,0.1,standard,42,21673364,30,0.838,369.9,0.08134648568191372,0.8379989931323015,0.8379989931323015,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9877622694683788,0.9078982866810946,0.9152682220812149,0.8784423040328729,0.5872591760974172,0.9265348981074636,0.7856832313097164,0.9720969646598058,0.6924564196971212,0.8743193961980926,0.7069311288992187,0.9382374742107341,0.9439340330159828,0.9167417021386521,0.9428236270224325,0.4453031651823429,0.9033830818574177,0.6108491934423308,0.9710343072407013,0.8530209813030363,deit_s_pretrained_frac0.10_aug-standard_seed42
deit_s,True,0.1,standard,456,21673364,30,0.8349,337.8,0.08198613517886989,0.8348990349850103,0.8348990349850103,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9874548553784734,0.9076053556314571,0.9221917032015516,0.8859780860429357,0.6270936040811143,0.9276850082233545,0.7997850099618723,0.976414823849242,0.6777061987879928,0.8749310509517659,0.680218237254968,0.9363993459022304,0.9452135688164535,0.9146556497967936,0.9395720212167025,0.4240310974311791,0.8946261647136997,0.5683887073496668,0.9653363567510063,0.8426938543577462,deit_s_pretrained_frac0.10_aug-standard_seed456
deit_s,True,0.2,standard,123,21673364,29,0.8721,340.0,0.06560920747918086,0.8720667321194278,0.8720667321194278,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9875045471206311,0.9178560693286137,0.9572892054136989,0.9170507407550568,0.6533945194758647,0.9432889040268218,0.8243257322639252,0.9834331165745616,0.73996193484784,0.9247118902242855,0.7318126338159429,0.9568963752154861,0.959806929497183,0.924445987322156,0.9580390892863655,0.5868089052683343,0.9142615704989524,0.6920296865370986,0.9722746448132328,0.8961421601025013,deit_s_pretrained_frac0.20_aug-standard_seed123
deit_s,True,0.2,standard,42,21673364,30,0.8756,430.8,0.06484671763993882,0.8756443567418811,0.8756443567418811,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9901156482084399,0.9179162610802006,0.9556207054090005,0.9222601032425876,0.6700771736901288,0.9424634276498369,0.8275033222917342,0.9830063077747452,0.7404941473624183,0.9286488668426857,0.7352875702249738,0.9588685635698367,0.9568867821790962,0.9334768151229308,0.9566240815200526,0.5967965609069831,0.9284750717269433,0.6946053060697058,0.9764544220769055,0.8973059978884174,deit_s_pretrained_frac0.20_aug-standard_seed42
